
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
423	21.200000	-0.122924	-0.153754
424	21.250000	-0.130427	-0.146293
425	21.300000	-0.137549	-0.138524
426	21.350000	-0.144274	-0.130468
427	21.400000	-0.150591	-0.122147
428	21.450000	-0.156485	-0.113584
429	21.500000	-0.161946	-0.104802
430	21.550000	-0.166962	-0.095825
431	21.600000	-0.171525	-0.086677
432	21.650000	-0.175627	-0.077381
433	21.700000	-0.179261	-0.067962
434	21.750000	-0.182422	-0.058443
435	21.800000	-0.185104	-0.048851
436	21.850000	-0.187306	-0.039208
437	21.900000	-0.189025	-0.029540
438	21.950000	-0.190260	-0.019871
439	22.000000	-0.191012	-0.010224
440	22.050000	-0.191283	-0.000624
441	22.100000	-0.191076	0.008906
442	22.150000	-0.190394	0.018342
443	22.200000	-0.189244	0.027663
444	22.250000	-0.187630	0.036844
445	22.300000	-0.185562	0.045866
446	22.350000	-0.183047	0.054706
447	22.400000	-0.180095	0.063343
448	22.450000	-0.176716	0.071758
449	22.500000	-0.172923	0.079932
450	22.550000	-0.168727	0.087846
451	22.600000	-0.164143	0.095481
452	22.650000	-0.159184	0.102822
453	22.700000	-0.153866	0.109852
454	22.750000	-0.148204	0.116556
455	22.800000	-0.142216	0.122920
456	22.850000	-0.135918	0.128930
457	22.900000	-0.129329	0.134574
458	22.950000	-0.122467	0.139840
459	23.000000	-0.115352	0.144719
460	23.050000	-0.108002	0.149202
461	23.100000	-0.100438	0.153279
462	23.150000	-0.092681	0.156944
463	23.200000	-0.084751	0.160191
464	23.250000	-0.076669	0.163015
465	23.300000	-0.068456	0.165412
466	23.350000	-0.060135	0.167379
467	23.400000	-0.051726	0.168914
468	23.450000	-0.043251	0.170017
469	23.500000	-0.034731	0.170689
470	23.550000	-0.026189	0.170931
471	23.600000	-0.017645	0.170745
472	23.650000	-0.009121	0.170136
473	23.700000	-0.000639	0.169107
474	23.750000	0.007782	0.167665
475	23.800000	0.016121	0.165816
476	23.850000	0.024357	0.163568
477	23.900000	0.032471	0.160930
478	23.950000	0.040444	0.157911
479	24.000000	0.048256	0.154521
480	24.050000	0.055890	0.150771
481	24.100000	0.063328	0.146674
482	24.150000	0.070552	0.142243
483	24.200000	0.077547	0.137490
484	24.250000	0.084296	0.132430
485	24.300000	0.090785	0.127079
